[18:09:40] src/nnvm/legacy_json_util.cc:209: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[18:09:40] src/nnvm/legacy_json_util.cc:217: Symbol successfully upgraded!
[18:09:40] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: ./caltech-256-10-train.rec, use 2 threads for decoding..
2019-12-17 18:10:24,551 End Batch callbacks time 0.0002701282501220703 secs
2019-12-17 18:10:25,891 Batch 10 compute time: 1.3384475708007812 secs
2019-12-17 18:10:25,927 Batch 10 update time: 0.03515768051147461 secs
2019-12-17 18:10:25,930 Batch 10 update metric time 0.0027801990509033203 secs
2019-12-17 18:10:25,931 Batch 10 prepare time 0.0003504753112792969 secs
2019-12-17 18:10:25,932 Epoch[0] Batch [0-10]	Speed: 11.58 samples/sec	accuracy=0.005682
2019-12-17 18:10:25,933 End Batch callbacks time 0.0012812614440917969 secs
2019-12-17 18:10:27,268 Batch 11 compute time: 1.3337862491607666 secs
2019-12-17 18:10:27,305 Batch 11 update time: 0.03573298454284668 secs
2019-12-17 18:10:27,308 Batch 11 update metric time 0.0030336380004882812 secs
2019-12-17 18:10:27,309 Batch 11 prepare time 0.000354766845703125 secs
2019-12-17 18:10:27,310 End Batch callbacks time 0.0001685619354248047 secs
2019-12-17 18:10:28,643 Batch 12 compute time: 1.331531047821045 secs
2019-12-17 18:10:28,679 Batch 12 update time: 0.03568553924560547 secs
2019-12-17 18:10:28,683 Batch 12 update metric time 0.003034830093383789 secs
2019-12-17 18:10:28,684 Batch 12 prepare time 0.0005514621734619141 secs
2019-12-17 18:10:28,685 End Batch callbacks time 0.00019669532775878906 secs
2019-12-17 18:10:30,024 Batch 13 compute time: 1.337522268295288 secs
2019-12-17 18:10:30,058 Batch 13 update time: 0.03368973731994629 secs
2019-12-17 18:10:30,062 Batch 13 update metric time 0.0029523372650146484 secs
2019-12-17 18:10:30,063 Batch 13 prepare time 0.00047326087951660156 secs
2019-12-17 18:10:30,064 End Batch callbacks time 0.00017905235290527344 secs
2019-12-17 18:10:31,399 Batch 14 compute time: 1.3336164951324463 secs
2019-12-17 18:10:31,437 Batch 14 update time: 0.03752636909484863 secs
2019-12-17 18:10:31,441 Batch 14 update metric time 0.0032112598419189453 secs
2019-12-17 18:10:31,442 Batch 14 prepare time 0.0007519721984863281 secs
2019-12-17 18:10:31,443 End Batch callbacks time 0.00023698806762695312 secs
2019-12-17 18:10:32,778 Batch 15 compute time: 1.332754135131836 secs
2019-12-17 18:10:32,812 Batch 15 update time: 0.034133195877075195 secs
2019-12-17 18:10:32,815 Batch 15 update metric time 0.0026667118072509766 secs
2019-12-17 18:10:32,817 Batch 15 prepare time 0.0015511512756347656 secs
2019-12-17 18:10:32,818 End Batch callbacks time 0.00011372566223144531 secs
2019-12-17 18:10:34,154 Batch 16 compute time: 1.3346900939941406 secs
2019-12-17 18:10:34,190 Batch 16 update time: 0.03523755073547363 secs
2019-12-17 18:10:34,194 Batch 16 update metric time 0.003192901611328125 secs
2019-12-17 18:10:34,195 Batch 16 prepare time 0.0006849765777587891 secs
2019-12-17 18:10:34,196 End Batch callbacks time 0.00016236305236816406 secs
2019-12-17 18:10:35,523 Batch 17 compute time: 1.3257696628570557 secs
2019-12-17 18:10:35,559 Batch 17 update time: 0.035306692123413086 secs
2019-12-17 18:10:35,562 Batch 17 update metric time 0.002599477767944336 secs
2019-12-17 18:10:35,563 Batch 17 prepare time 0.00038933753967285156 secs
2019-12-17 18:10:35,563 End Batch callbacks time 0.0001125335693359375 secs
2019-12-17 18:10:36,902 Batch 18 compute time: 1.3375167846679688 secs
2019-12-17 18:10:36,943 Batch 18 update time: 0.040236711502075195 secs
2019-12-17 18:10:36,947 Batch 18 update metric time 0.003620147705078125 secs
2019-12-17 18:10:36,948 Batch 18 prepare time 0.0007431507110595703 secs
2019-12-17 18:10:36,949 End Batch callbacks time 0.00013017654418945312 secs
2019-12-17 18:10:38,291 Batch 19 compute time: 1.3406274318695068 secs
2019-12-17 18:10:38,330 Batch 19 update time: 0.03810620307922363 secs
2019-12-17 18:10:38,334 Batch 19 update metric time 0.0033888816833496094 secs
2019-12-17 18:10:38,335 Batch 19 prepare time 0.0005230903625488281 secs
2019-12-17 18:10:38,335 End Batch callbacks time 0.00012540817260742188 secs
2019-12-17 18:10:39,671 Batch 20 compute time: 1.3343772888183594 secs
2019-12-17 18:10:39,706 Batch 20 update time: 0.034177541732788086 secs
2019-12-17 18:10:39,710 Batch 20 update metric time 0.0033974647521972656 secs
2019-12-17 18:10:39,711 Batch 20 prepare time 0.0006368160247802734 secs
2019-12-17 18:10:39,712 Epoch[0] Batch [10-20]	Speed: 11.61 samples/sec	accuracy=0.012500
2019-12-17 18:10:39,712 End Batch callbacks time 0.0006122589111328125 secs
2019-12-17 18:10:41,051 Batch 21 compute time: 1.3373515605926514 secs
2019-12-17 18:10:41,085 Batch 21 update time: 0.0339810848236084 secs
2019-12-17 18:10:41,089 Batch 21 update metric time 0.0027434825897216797 secs
2019-12-17 18:10:41,089 Batch 21 prepare time 0.0003447532653808594 secs
2019-12-17 18:10:41,090 End Batch callbacks time 0.00010943412780761719 secs
2019-12-17 18:10:42,422 Batch 22 compute time: 1.330719232559204 secs
2019-12-17 18:10:42,459 Batch 22 update time: 0.03600263595581055 secs
2019-12-17 18:10:42,462 Batch 22 update metric time 0.0026035308837890625 secs
2019-12-17 18:10:42,463 Batch 22 prepare time 0.0003387928009033203 secs
2019-12-17 18:10:42,463 End Batch callbacks time 0.00011229515075683594 secs
2019-12-17 18:10:43,797 Batch 23 compute time: 1.3324551582336426 secs
2019-12-17 18:10:43,832 Batch 23 update time: 0.03462529182434082 secs
2019-12-17 18:10:43,835 Batch 23 update metric time 0.0027472972869873047 secs
2019-12-17 18:10:43,836 Batch 23 prepare time 0.0004482269287109375 secs
2019-12-17 18:10:43,837 End Batch callbacks time 0.00019478797912597656 secs
2019-12-17 18:10:45,181 Batch 24 compute time: 1.3428270816802979 secs
2019-12-17 18:10:45,217 Batch 24 update time: 0.03481864929199219 secs
2019-12-17 18:10:45,220 Batch 24 update metric time 0.002715587615966797 secs
2019-12-17 18:10:45,221 Batch 24 prepare time 0.0003616809844970703 secs
2019-12-17 18:10:45,221 End Batch callbacks time 0.00018835067749023438 secs
2019-12-17 18:10:46,556 Batch 25 compute time: 1.333425760269165 secs
2019-12-17 18:10:46,592 Batch 25 update time: 0.03499794006347656 secs
2019-12-17 18:10:46,595 Batch 25 update metric time 0.0028405189514160156 secs
2019-12-17 18:10:46,596 Batch 25 prepare time 0.00047779083251953125 secs
2019-12-17 18:10:46,596 End Batch callbacks time 0.00010919570922851562 secs
2019-12-17 18:10:47,929 Batch 26 compute time: 1.3315236568450928 secs
2019-12-17 18:10:47,964 Batch 26 update time: 0.03404355049133301 secs
2019-12-17 18:10:47,967 Batch 26 update metric time 0.002913236618041992 secs
2019-12-17 18:10:47,968 Batch 26 prepare time 0.00030922889709472656 secs
2019-12-17 18:10:47,968 End Batch callbacks time 9.870529174804688e-05 secs
2019-12-17 18:10:49,297 Batch 27 compute time: 1.3266396522521973 secs
2019-12-17 18:10:49,334 Batch 27 update time: 0.03727316856384277 secs
2019-12-17 18:10:49,338 Batch 27 update metric time 0.0027866363525390625 secs
2019-12-17 18:10:49,338 Batch 27 prepare time 0.00045680999755859375 secs
2019-12-17 18:10:49,339 End Batch callbacks time 0.00019049644470214844 secs
2019-12-17 18:10:50,680 Batch 28 compute time: 1.3393452167510986 secs
2019-12-17 18:10:50,717 Batch 28 update time: 0.03652238845825195 secs
2019-12-17 18:10:50,720 Batch 28 update metric time 0.0026662349700927734 secs
2019-12-17 18:10:50,721 Batch 28 prepare time 0.0003008842468261719 secs
2019-12-17 18:10:50,721 End Batch callbacks time 9.703636169433594e-05 secs
2019-12-17 18:10:52,062 Batch 29 compute time: 1.3396461009979248 secs
2019-12-17 18:10:52,095 Batch 29 update time: 0.031499624252319336 secs
2019-12-17 18:10:52,098 Batch 29 update metric time 0.0028226375579833984 secs
2019-12-17 18:10:52,101 Batch 29 prepare time 0.0028955936431884766 secs
2019-12-17 18:10:52,102 End Batch callbacks time 0.00012373924255371094 secs
2019-12-17 18:10:53,446 Batch 30 compute time: 1.3421101570129395 secs
2019-12-17 18:10:53,484 Batch 30 update time: 0.03798103332519531 secs
2019-12-17 18:10:53,488 Batch 30 update metric time 0.0027799606323242188 secs
2019-12-17 18:10:53,488 Batch 30 prepare time 0.0003352165222167969 secs
2019-12-17 18:10:53,489 Epoch[0] Batch [20-30]	Speed: 11.61 samples/sec	accuracy=0.006250
2019-12-17 18:10:53,490 End Batch callbacks time 0.0008864402770996094 secs
2019-12-17 18:10:54,821 Batch 31 compute time: 1.3294196128845215 secs
2019-12-17 18:10:54,855 Batch 31 update time: 0.033396005630493164 secs
2019-12-17 18:10:54,858 Batch 31 update metric time 0.002545595169067383 secs
2019-12-17 18:10:54,859 Batch 31 prepare time 0.0005080699920654297 secs
2019-12-17 18:10:54,859 End Batch callbacks time 0.00012826919555664062 secs
2019-12-17 18:10:56,190 Batch 32 compute time: 1.3291115760803223 secs
2019-12-17 18:10:56,226 Batch 32 update time: 0.03530573844909668 secs
2019-12-17 18:10:56,229 Batch 32 update metric time 0.0026063919067382812 secs
2019-12-17 18:10:56,230 Batch 32 prepare time 0.0005948543548583984 secs
2019-12-17 18:10:56,231 End Batch callbacks time 0.00017547607421875 secs
2019-12-17 18:10:57,566 Batch 33 compute time: 1.3340034484863281 secs
2019-12-17 18:10:57,611 Batch 33 update time: 0.04112577438354492 secs
2019-12-17 18:10:57,615 Batch 33 update metric time 0.0027513504028320312 secs
2019-12-17 18:10:57,616 Batch 33 prepare time 0.0003867149353027344 secs
2019-12-17 18:10:57,616 End Batch callbacks time 0.0002009868621826172 secs
2019-12-17 18:10:58,956 Batch 34 compute time: 1.3379173278808594 secs
2019-12-17 18:10:58,996 Batch 34 update time: 0.04001116752624512 secs
2019-12-17 18:10:59,000 Batch 34 update metric time 0.002699613571166992 secs
2019-12-17 18:10:59,001 Batch 34 prepare time 0.0006232261657714844 secs
2019-12-17 18:10:59,001 End Batch callbacks time 0.00016188621520996094 secs
2019-12-17 18:11:00,327 Batch 35 compute time: 1.323533296585083 secs
2019-12-17 18:11:00,361 Batch 35 update time: 0.03412747383117676 secs
2019-12-17 18:11:00,364 Batch 35 update metric time 0.0026197433471679688 secs
2019-12-17 18:11:00,365 Batch 35 prepare time 0.00035190582275390625 secs
2019-12-17 18:11:00,366 End Batch callbacks time 0.00020551681518554688 secs
2019-12-17 18:11:01,705 Batch 36 compute time: 1.3368585109710693 secs
2019-12-17 18:11:01,738 Batch 36 update time: 0.032937049865722656 secs
2019-12-17 18:11:01,742 Batch 36 update metric time 0.0029833316802978516 secs
2019-12-17 18:11:01,743 Batch 36 prepare time 0.0006318092346191406 secs
2019-12-17 18:11:01,744 End Batch callbacks time 0.00025463104248046875 secs
2019-12-17 18:11:03,091 Batch 37 compute time: 1.3457658290863037 secs
2019-12-17 18:11:03,130 Batch 37 update time: 0.038518428802490234 secs
2019-12-17 18:11:03,134 Batch 37 update metric time 0.0026569366455078125 secs
2019-12-17 18:11:03,134 Batch 37 prepare time 0.0003733634948730469 secs
2019-12-17 18:11:03,135 End Batch callbacks time 0.00011706352233886719 secs
2019-12-17 18:11:04,483 Batch 38 compute time: 1.3464863300323486 secs
2019-12-17 18:11:04,522 Batch 38 update time: 0.038205862045288086 secs
2019-12-17 18:11:04,525 Batch 38 update metric time 0.0029370784759521484 secs
2019-12-17 18:11:04,526 Batch 38 prepare time 0.0005791187286376953 secs
2019-12-17 18:11:04,526 End Batch callbacks time 0.0001933574676513672 secs
2019-12-17 18:11:05,866 Batch 39 compute time: 1.3381989002227783 secs
2019-12-17 18:11:05,909 Batch 39 update time: 0.04244279861450195 secs
2019-12-17 18:11:05,912 Batch 39 update metric time 0.0023107528686523438 secs
2019-12-17 18:11:05,913 Batch 39 prepare time 0.0003113746643066406 secs
2019-12-17 18:11:05,913 End Batch callbacks time 0.0001857280731201172 secs
2019-12-17 18:11:07,252 Batch 40 compute time: 1.3371250629425049 secs
2019-12-17 18:11:07,287 Batch 40 update time: 0.03503680229187012 secs
2019-12-17 18:11:07,290 Batch 40 update metric time 0.0023963451385498047 secs
2019-12-17 18:11:07,291 Batch 40 prepare time 0.0004286766052246094 secs
2019-12-17 18:11:07,291 Epoch[0] Batch [30-40]	Speed: 11.59 samples/sec	accuracy=0.012500
2019-12-17 18:11:07,292 End Batch callbacks time 0.0004944801330566406 secs
2019-12-17 18:11:08,620 Batch 41 compute time: 1.3265552520751953 secs
2019-12-17 18:11:08,662 Batch 41 update time: 0.04169058799743652 secs
2019-12-17 18:11:08,665 Batch 41 update metric time 0.0029311180114746094 secs
2019-12-17 18:11:08,666 Batch 41 prepare time 0.0005934238433837891 secs
2019-12-17 18:11:08,667 End Batch callbacks time 0.00020194053649902344 secs
2019-12-17 18:11:10,006 Batch 42 compute time: 1.3370318412780762 secs
2019-12-17 18:11:10,040 Batch 42 update time: 0.03386354446411133 secs
2019-12-17 18:11:10,043 Batch 42 update metric time 0.002748727798461914 secs
2019-12-17 18:11:10,044 Batch 42 prepare time 0.00039386749267578125 secs
2019-12-17 18:11:10,044 End Batch callbacks time 0.00011157989501953125 secs
2019-12-17 18:11:11,381 Batch 43 compute time: 1.3350160121917725 secs
2019-12-17 18:11:11,416 Batch 43 update time: 0.0343472957611084 secs
2019-12-17 18:11:11,419 Batch 43 update metric time 0.0026781558990478516 secs
2019-12-17 18:11:11,420 Batch 43 prepare time 0.0005071163177490234 secs
2019-12-17 18:11:11,420 End Batch callbacks time 0.00010752677917480469 secs
2019-12-17 18:11:12,764 Batch 44 compute time: 1.3416898250579834 secs
2019-12-17 18:11:12,802 Batch 44 update time: 0.038217782974243164 secs
2019-12-17 18:11:12,805 Batch 44 update metric time 0.0024275779724121094 secs
2019-12-17 18:11:12,806 Batch 44 prepare time 0.0003185272216796875 secs
2019-12-17 18:11:12,806 End Batch callbacks time 0.00010943412780761719 secs
2019-12-17 18:11:14,146 Batch 45 compute time: 1.3382372856140137 secs
2019-12-17 18:11:14,181 Batch 45 update time: 0.03469109535217285 secs
2019-12-17 18:11:14,185 Batch 45 update metric time 0.0027000904083251953 secs
2019-12-17 18:11:14,185 Batch 45 prepare time 0.0004839897155761719 secs
2019-12-17 18:11:14,186 End Batch callbacks time 0.00010728836059570312 secs
2019-12-17 18:11:15,529 Batch 46 compute time: 1.341916799545288 secs
2019-12-17 18:11:15,566 Batch 46 update time: 0.03615427017211914 secs
2019-12-17 18:11:15,569 Batch 46 update metric time 0.0024559497833251953 secs
2019-12-17 18:11:15,570 Batch 46 prepare time 0.00031757354736328125 secs
2019-12-17 18:11:15,570 End Batch callbacks time 0.00011014938354492188 secs
2019-12-17 18:11:16,919 Batch 47 compute time: 1.3469188213348389 secs
2019-12-17 18:11:16,956 Batch 47 update time: 0.03660917282104492 secs
2019-12-17 18:11:16,959 Batch 47 update metric time 0.0027942657470703125 secs
2019-12-17 18:11:16,960 Batch 47 prepare time 0.0006020069122314453 secs
2019-12-17 18:11:16,961 End Batch callbacks time 0.0002574920654296875 secs
2019-12-17 18:11:18,289 Batch 48 compute time: 1.3265254497528076 secs
2019-12-17 18:11:18,326 Batch 48 update time: 0.03589582443237305 secs
2019-12-17 18:11:18,329 Batch 48 update metric time 0.0025730133056640625 secs
2019-12-17 18:11:18,330 Batch 48 prepare time 0.0003905296325683594 secs
2019-12-17 18:11:18,330 End Batch callbacks time 0.00018358230590820312 secs
2019-12-17 18:11:19,669 Batch 49 compute time: 1.3367629051208496 secs
2019-12-17 18:11:19,706 Batch 49 update time: 0.03600168228149414 secs
2019-12-17 18:11:19,709 Batch 49 update metric time 0.002941608428955078 secs
2019-12-17 18:11:19,710 Batch 49 prepare time 0.0005385875701904297 secs
2019-12-17 18:11:19,711 End Batch callbacks time 0.0001742839813232422 secs
2019-12-17 18:11:21,059 Batch 50 compute time: 1.3461830615997314 secs
2019-12-17 18:11:21,098 Batch 50 update time: 0.03889894485473633 secs
2019-12-17 18:11:21,102 Batch 50 update metric time 0.0028705596923828125 secs
2019-12-17 18:11:21,102 Batch 50 prepare time 0.00036644935607910156 secs
2019-12-17 18:11:21,103 Epoch[0] Batch [40-50]	Speed: 11.58 samples/sec	accuracy=0.018750
2019-12-17 18:11:21,104 End Batch callbacks time 0.0007774829864501953 secs
2019-12-17 18:11:22,449 Batch 51 compute time: 1.3438329696655273 secs
2019-12-17 18:11:22,483 Batch 51 update time: 0.033300161361694336 secs
2019-12-17 18:11:22,486 Batch 51 update metric time 0.002710103988647461 secs
2019-12-17 18:11:22,487 Batch 51 prepare time 0.0003590583801269531 secs
2019-12-17 18:11:22,488 End Batch callbacks time 0.0002295970916748047 secs
2019-12-17 18:11:23,838 Batch 52 compute time: 1.348863124847412 secs
2019-12-17 18:11:23,877 Batch 52 update time: 0.03832101821899414 secs
2019-12-17 18:11:23,881 Batch 52 update metric time 0.0032806396484375 secs
2019-12-17 18:11:23,883 Batch 52 prepare time 0.001394033432006836 secs
2019-12-17 18:11:23,883 End Batch callbacks time 9.083747863769531e-05 secs
2019-12-17 18:11:25,225 Batch 53 compute time: 1.3401062488555908 secs
2019-12-17 18:11:25,261 Batch 53 update time: 0.035845279693603516 secs
2019-12-17 18:11:25,264 Batch 53 update metric time 0.002864360809326172 secs
2019-12-17 18:11:25,265 Batch 53 prepare time 0.0003414154052734375 secs
2019-12-17 18:11:25,266 End Batch callbacks time 0.0002791881561279297 secs
2019-12-17 18:11:26,604 Batch 54 compute time: 1.3361833095550537 secs
2019-12-17 18:11:26,643 Batch 54 update time: 0.03775358200073242 secs
2019-12-17 18:11:26,646 Batch 54 update metric time 0.0027761459350585938 secs
2019-12-17 18:11:26,647 Batch 54 prepare time 0.0006341934204101562 secs
2019-12-17 18:11:26,648 End Batch callbacks time 0.0001690387725830078 secs
2019-12-17 18:11:27,986 Batch 55 compute time: 1.3368806838989258 secs
2019-12-17 18:11:28,022 Batch 55 update time: 0.03563213348388672 secs
2019-12-17 18:11:28,026 Batch 55 update metric time 0.002687215805053711 secs
2019-12-17 18:11:28,026 Batch 55 prepare time 0.00037217140197753906 secs
2019-12-17 18:11:28,027 End Batch callbacks time 0.00028634071350097656 secs
2019-12-17 18:11:29,355 Batch 56 compute time: 1.3257431983947754 secs
2019-12-17 18:11:29,392 Batch 56 update time: 0.03677845001220703 secs
2019-12-17 18:11:29,395 Batch 56 update metric time 0.0029571056365966797 secs
2019-12-17 18:11:29,396 Batch 56 prepare time 0.0004661083221435547 secs
2019-12-17 18:11:29,397 End Batch callbacks time 0.00010991096496582031 secs
2019-12-17 18:11:30,736 Batch 57 compute time: 1.337986946105957 secs
2019-12-17 18:11:30,768 Batch 57 update time: 0.03156590461730957 secs
2019-12-17 18:11:30,772 Batch 57 update metric time 0.002861499786376953 secs
2019-12-17 18:11:30,772 Batch 57 prepare time 0.0003428459167480469 secs
2019-12-17 18:11:30,773 End Batch callbacks time 0.0001964569091796875 secs
2019-12-17 18:11:32,104 Batch 58 compute time: 1.3299179077148438 secs
2019-12-17 18:11:32,142 Batch 58 update time: 0.03758811950683594 secs
2019-12-17 18:11:32,146 Batch 58 update metric time 0.0028405189514160156 secs
2019-12-17 18:11:32,147 Batch 58 prepare time 0.0005359649658203125 secs
2019-12-17 18:11:32,147 End Batch callbacks time 0.00011444091796875 secs
2019-12-17 18:11:33,487 Batch 59 compute time: 1.338012933731079 secs
2019-12-17 18:11:33,520 Batch 59 update time: 0.0331568717956543 secs
2019-12-17 18:11:33,523 Batch 59 update metric time 0.0025415420532226562 secs
2019-12-17 18:11:33,524 Batch 59 prepare time 0.0003147125244140625 secs
2019-12-17 18:11:33,524 End Batch callbacks time 9.703636169433594e-05 secs
2019-12-17 18:11:34,868 Batch 60 compute time: 1.3419208526611328 secs
2019-12-17 18:11:34,903 Batch 60 update time: 0.034811973571777344 secs
2019-12-17 18:11:34,906 Batch 60 update metric time 0.0026464462280273438 secs
2019-12-17 18:11:34,907 Batch 60 prepare time 0.0003476142883300781 secs
2019-12-17 18:11:34,908 Epoch[0] Batch [50-60]	Speed: 11.59 samples/sec	accuracy=0.043750
2019-12-17 18:11:34,908 End Batch callbacks time 0.00047087669372558594 secs
2019-12-17 18:11:36,243 Batch 61 compute time: 1.3335950374603271 secs
2019-12-17 18:11:36,279 Batch 61 update time: 0.03558635711669922 secs
2019-12-17 18:11:36,283 Batch 61 update metric time 0.0030078887939453125 secs
2019-12-17 18:11:36,284 Batch 61 prepare time 0.000469207763671875 secs
2019-12-17 18:11:36,284 End Batch callbacks time 0.00010919570922851562 secs
2019-12-17 18:11:37,626 Batch 62 compute time: 1.3405532836914062 secs
2019-12-17 18:11:37,664 Batch 62 update time: 0.03673887252807617 secs
2019-12-17 18:11:37,667 Batch 62 update metric time 0.002440214157104492 secs
2019-12-17 18:11:37,667 Batch 62 prepare time 0.00032591819763183594 secs
2019-12-17 18:11:37,668 End Batch callbacks time 0.00011324882507324219 secs
2019-12-17 18:11:38,994 Batch 63 compute time: 1.3248214721679688 secs
2019-12-17 18:11:39,026 Batch 63 update time: 0.031717538833618164 secs
2019-12-17 18:11:39,030 Batch 63 update metric time 0.002786397933959961 secs
2019-12-17 18:11:39,031 Batch 63 prepare time 0.0004570484161376953 secs
2019-12-17 18:11:39,031 End Batch callbacks time 0.00010895729064941406 secs
2019-12-17 18:11:40,378 Batch 64 compute time: 1.3451955318450928 secs
2019-12-17 18:11:40,414 Batch 64 update time: 0.03545784950256348 secs
2019-12-17 18:11:40,417 Batch 64 update metric time 0.0025026798248291016 secs
2019-12-17 18:11:40,417 Batch 64 prepare time 0.0003523826599121094 secs
2019-12-17 18:11:40,418 End Batch callbacks time 0.00010704994201660156 secs
2019-12-17 18:11:41,743 Batch 65 compute time: 1.3238911628723145 secs
2019-12-17 18:11:41,780 Batch 65 update time: 0.036609649658203125 secs
2019-12-17 18:11:41,784 Batch 65 update metric time 0.0029332637786865234 secs
2019-12-17 18:11:41,785 Batch 65 prepare time 0.0005409717559814453 secs
2019-12-17 18:11:41,786 End Batch callbacks time 0.00026488304138183594 secs
2019-12-17 18:11:43,126 Batch 66 compute time: 1.338698148727417 secs
2019-12-17 18:11:43,159 Batch 66 update time: 0.03257608413696289 secs
2019-12-17 18:11:43,162 Batch 66 update metric time 0.0026617050170898438 secs
2019-12-17 18:11:43,163 Batch 66 prepare time 0.00039386749267578125 secs
2019-12-17 18:11:43,164 End Batch callbacks time 0.0002849102020263672 secs
2019-12-17 18:11:44,498 Batch 67 compute time: 1.3324823379516602 secs
2019-12-17 18:11:44,534 Batch 67 update time: 0.03562593460083008 secs
2019-12-17 18:11:44,538 Batch 67 update metric time 0.0028145313262939453 secs
2019-12-17 18:11:44,539 Batch 67 prepare time 0.0006184577941894531 secs
2019-12-17 18:11:44,540 End Batch callbacks time 0.0002522468566894531 secs
2019-12-17 18:11:45,868 Batch 68 compute time: 1.3267133235931396 secs
2019-12-17 18:11:45,901 Batch 68 update time: 0.032842159271240234 secs
